id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,first_name,second_name,web_name,team
14,90,0,0,0,2,0,0,0,0,0,7,0,21,29.6,0.0,0.0,3.0,3,FALSE,Bernd,Leno,Leno,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Ørjan,Nyland,Nyland,2
47,90,0,0,0,4,0,0,0,0,0,2,0,19,21.6,0.0,0.0,2.2,0,FALSE,Mathew,Ryan,Ryan,4
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,David,Button,Button,4
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Asmir,Begovic,Begovic,3
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Artur,Boruc,Boruc,3
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Mark,Travers,Travers,3
93,90,0,0,0,3,0,0,0,0,0,5,0,23,32.2,0.0,0.0,3.2,2,FALSE,Nick,Pope,Pope,5
94,90,0,0,0,1,0,0,0,0,0,4,0,16,24.0,0.0,0.0,2.4,3,FALSE,Tom,Heaton,Heaton,2
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Joe,Hart,Hart,5
111,90,0,0,0,2,0,0,0,0,0,2,0,19,10.2,0.0,0.0,1.0,1,FALSE,Kepa,Arrizabalaga,Kepa,6
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Willy,Caballero,Caballero,6
131,90,0,0,1,0,0,0,0,0,0,2,0,26,18.4,0.0,0.0,1.8,6,FALSE,Vicente,Guaita,Guaita,7
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Wayne,Hennessey,Hennessey,7
148,90,0,0,0,2,0,0,0,0,0,3,0,16,28.2,0.0,0.0,2.8,2,FALSE,Jordan,Pickford,Pickford,8
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Maarten,Stekelenburg,Stekelenburg,8
168,90,0,0,0,1,0,0,0,0,0,1,0,9,7.2,0.0,0.0,0.7,2,FALSE,Kasper,Schmeichel,Schmeichel,9
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Eldin,Jakupovic,Jakupovic,9
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Danny,Ward,Ward,9
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Alisson,Ramses Becker,Alisson,10
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Simon,Mignolet,Mignolet,10
212,90,0,0,1,0,0,0,0,0,0,1,0,24,12.2,0.0,0.0,1.2,6,FALSE,Ederson,Santana de Moraes,Ederson,11
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Claudio,Bravo,Bravo,11
235,90,0,0,0,1,0,0,0,0,0,1,0,10,10.4,0.0,0.0,1.0,2,FALSE,David,de Gea,de Gea,12
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Sergio,Romero,Romero,12
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Lee,Grant,Grant,12
262,90,0,0,0,1,0,0,0,0,0,3,0,13,14.0,0.0,0.0,1.4,3,FALSE,Martin,Dubravka,Dubravka,13
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Karl,Darlow,Darlow,13
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Frederick,Woodman,Woodman,13
280,90,0,0,0,2,0,0,0,0,0,5,0,19,39.8,0.0,0.0,4.0,2,FALSE,Tim,Krul,Krul,14
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Michael,McGovern,McGovern,14
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Jake,Eastwood,Eastwood,15
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,FALSE,Fraser,Forster,Forster,16
